Miles Per Gallon (MPG),Number of Cylinders,Horsepower,Weight,Model Year
18,8,130,3504,70
15,8,165,3693,70
18,8,150,3436,70
16,8,150,3433,70
17,8,140,3449,70
15,8,198,4341,70
14,8,220,4354,70
14,8,215,4312,70
14,8,225,4425,70
15,8,190,3850,70
15,8,170,3563,70
14,8,160,3609,70
15,8,150,3761,70
14,8,225,3086,70
24,4,95,2372,70
22,6,95,2833,70
18,6,97,2774,70
21,6,85,2587,70
27,4,88,2130,70
26,4,46,1835,70
25,4,87,2672,70
24,4,90,2430,70
25,4,95,2375,70
26,4,113,2234,70
21,6,90,2648,70
10,8,215,4615,70
10,8,200,4376,70
11,8,210,4382,70
9,8,193,4732,70
27,4,88,2130,71
28,4,90,2264,71
25,4,95,2228,71
19,6,100,2634,71
16,6,105,3439,71
17,6,100,3329,71
19,6,88,3302,71
18,6,100,3288,71
14,8,165,4209,71
14,8,175,4464,71
14,8,153,4154,71
14,8,150,4096,71
12,8,180,4955,71
13,8,170,4746,71
13,8,175,5140,71
18,6,110,2962,71
22,4,72,2408,71
19,6,100,3282,71
18,6,88,3139,71
23,4,86,2220,71
28,4,90,2123,71
30,4,70,2074,71
30,4,76,2065,71
31,4,65,1773,71
35,4,69,1613,71
27,4,60,1834,71
26,4,70,1955,71
24,4,95,2278,72
25,4,80,2126,72
23,4,54,2254,72
20,4,90,2408,72
21,4,86,2226,72
13,8,165,4274,72
14,8,175,4385,72
15,8,150,4135,72
14,8,153,4129,72
17,8,150,3672,72
11,8,208,4633,72
13,8,155,4502,72
12,8,160,4456,72
13,8,190,4422,72
19,3,97,2330,72
15,8,150,3892,72
13,8,130,4098,72
13,8,140,4294,72
14,8,150,4077,72
18,4,112,2933,72
22,4,76,2511,72
21,4,87,2979,72
26,4,69,2189,72
22,4,86,2395,72
28,4,92,2288,72
23,4,97,2506,72
28,4,80,2164,72
27,4,88,2100,72
13,8,175,4100,73
14,8,150,3672,73
13,8,145,3988,73
14,8,137,4042,73
15,8,150,3777,73
12,8,198,4952,73
13,8,150,4464,73
13,8,158,4363,73
14,8,150,4237,73
13,8,215,4735,73
12,8,225,4951,73
13,8,175,3821,73
18,6,105,3121,73
16,6,100,3278,73
18,6,100,2945,73
18,6,88,3021,73
23,6,95,2904,73
26,4,46,1950,73
11,8,150,4997,73
12,8,167,4906,73
13,8,170,4654,73
12,8,180,4499,73
18,6,100,2789,73
20,4,88,2279,73
21,4,72,2401,73
22,4,94,2379,73
18,3,90,2124,73
19,4,85,2310,73
21,6,107,2472,73
26,4,90,2265,73
15,8,145,4082,73
16,8,230,4278,73
29,4,49,1867,73
24,4,75,2158,73
20,4,91,2582,73
19,4,112,2868,73
15,8,150,3399,73
24,4,110,2660,73
20,6,122,2807,73
11,8,180,3664,73
20,6,95,3102,74
19,6,100,2901,74
15,6,100,3336,74
31,4,67,1950,74
26,4,80,2451,74
32,4,65,1836,74
25,4,75,2542,74
16,6,100,3781,74
16,6,110,3632,74
18,6,105,3613,74
16,8,140,4141,74
13,8,150,4699,74
14,8,150,4457,74
14,8,140,4638,74
14,8,150,4257,74
29,4,83,2219,74
26,4,67,1963,74
26,4,78,2300,74
31,4,52,1649,74
32,4,61,2003,74
28,4,75,2125,74
24,4,75,2108,74
26,4,75,2246,74
24,4,97,2489,74
26,4,93,2391,74
31,4,67,2000,74
19,6,95,3264,75
18,6,105,3459,75
15,6,72,3432,75
15,6,72,3158,75
16,8,170,4668,75
15,8,145,4440,75
16,8,150,4498,75
14,8,148,4657,75
17,6,110,3907,75
16,6,105,3897,75
15,6,110,3730,75
18,6,95,3785,75
21,6,110,3039,75
20,8,110,3221,75
13,8,129,3169,75
29,4,75,2171,75
23,4,83,2639,75
20,6,100,2914,75
23,4,78,2592,75
24,4,96,2702,75
25,4,71,2223,75
24,4,97,2545,75
18,6,97,2984,75
29,4,70,1937,75
19,6,90,3211,75
23,4,95,2694,75
23,4,88,2957,75
22,4,98,2945,75
25,4,115,2671,75
33,4,53,1795,75
28,4,86,2464,76
25,4,81,2220,76
25,4,92,2572,76
26,4,79,2255,76
27,4,83,2202,76
18,8,140,4215,76
16,8,150,4190,76
16,8,120,3962,76
15,8,152,4215,76
22,6,100,3233,76
22,6,105,3353,76
24,6,81,3012,76
23,6,90,3085,76
29,4,52,2035,76
25,4,60,2164,76
29,4,70,1937,76
33,4,53,1795,76
20,6,100,3651,76
18,6,78,3574,76
19,6,110,3645,76
18,6,95,3193,76
30,4,71,1825,76
32,4,70,1990,76
28,4,75,2155,76
27,4,72,2565,76
20,4,102,3150,76
13,8,150,3940,76
19,4,88,3270,76
19,6,108,2930,76
17,6,120,3820,76
17,8,180,4380,76
13,8,145,4055,76
13,8,130,3870,76
13,8,150,3755,76
32,4,68,2045,77
30,4,80,2155,77
36,4,58,1825,77
26,4,96,2300,77
34,4,70,1945,77
18,8,145,3880,77
17,8,110,4060,77
16,8,145,4140,77
15,8,130,4295,77
18,6,110,3520,77
21,6,105,3425,77
19,6,100,3630,77
19,6,98,3525,77
16,8,180,4220,77
16,8,170,4165,77
16,8,190,4325,77
16,8,149,4335,77
29,4,78,1940,77
25,4,88,2740,77
26,4,75,2265,77
26,4,89,2755,77
31,4,63,2051,77
34,4,83,2075,77
30,4,67,1985,77
31,4,78,2190,77
22,6,97,2815,77
22,4,110,2600,77
22,3,110,2720,77
43,4,48,1985,78
36,4,66,1800,78
33,4,52,1985,78
39,4,70,2070,78
36,4,60,1800,78
20,8,110,3365,78
19,8,140,3735,78
20,8,139,3570,78
19,6,105,3535,78
21,6,95,3155,78
20,6,85,2965,78
25,4,88,2720,78
21,6,100,3430,78
19,6,90,3210,78
21,6,105,3380,78
21,6,85,3070,78
19,6,110,3620,78
18,6,120,3410,78
19,8,145,3425,78
18,6,165,3445,78
18,8,139,3205,78
18,8,140,4080,78
30,4,68,2155,78
28,4,95,2560,78
27,4,97,2300,78
31,4,75,2230,78
21,4,95,2515,78
23,4,105,2745,78
24,4,85,2855,78
24,4,97,2405,78
20,5,103,2830,78
17,6,125,3140,78
22,4,115,2795,78
16,6,133,3410,78
32,4,71,1990,78
30,4,68,2135,78
22,6,115,3245,79
20,6,85,2990,79
22,4,88,2890,79
20,6,90,3265,79
21,6,110,3360,79
17,8,130,3840,79
18,8,129,3725,79
17,8,138,3955,79
18,8,135,3830,79
17,8,155,4360,79
16,8,142,4054,79
19,8,125,3605,79
19,8,150,3940,79
32,4,71,1925,79
34,4,65,1975,79
36,4,80,1915,79
27,4,80,2670,79
25,5,77,3530,79
23,8,125,3900,79
27,4,71,3190,79
24,8,90,3420,79
34,4,70,2200,79
35,4,70,2150,79
32,4,65,2020,79
37,4,69,2130,79
28,4,90,2670,79
29,6,115,2595,79
27,6,115,2700,79
34,4,90,2556,79
42,4,76,2144,80
38,4,60,1968,80
32,4,70,2120,80
37,4,65,2019,80
28,4,90,2678,80
26,4,88,2870,80
24,4,90,3003,80
19,6,90,3381,80
34,4,78,2188,80
30,4,90,2711,80
31,4,75,2542,80
37,4,92,2434,80
32,4,75,2265,80
47,4,65,2110,80
28,4,105,2800,80
41,4,65,2110,80
44,4,48,2085,80
43,4,48,2335,80
36,5,67,2950,80
30,4,67,3250,80
45,4,67,1850,80
34,4,67,2145,80
30,4,62,1845,80
33,6,132,2910,80
24,3,100,2420,80
35,4,88,2500,80
32,4,72,2290,80
27,4,84,2490,81
27,4,84,2635,81
26,4,92,2620,81
24,6,110,2725,81
30,4,84,2385,81
39,4,58,1755,81
39,4,64,1875,81
35,4,60,1760,81
32,4,67,2065,81
37,4,65,1975,81
38,4,62,2050,81
34,4,68,1985,81
35,4,63,2215,81
34,4,65,2045,81
30,4,65,2380,81
33,4,74,2190,81
34,4,75,2210,81
32,4,75,2350,81
33,4,100,2615,81
32,4,74,2635,81
28,4,80,3230,81
31,6,76,3160,81
25,6,116,2900,81
24,6,120,2930,81
22,6,110,3415,81
27,8,105,3725,81
20,6,88,3060,81
18,6,85,3465,81
28,4,88,2605,82
27,4,88,2640,82
34,4,88,2395,82
31,4,85,2575,82
29,4,84,2525,82
27,4,90,2735,82
24,4,92,2865,82
36,4,74,1980,82
37,4,68,2025,82
31,4,68,1970,82
38,4,63,2125,82
36,4,70,2125,82
36,4,88,2160,82
36,4,75,2205,82
34,4,70,2245,82
38,4,67,1965,82
32,4,67,1965,82
38,4,67,1995,82
25,6,110,2945,82
38,6,85,3015,82
26,4,92,2585,82
22,6,112,2835,82
32,4,96,2665,82
36,4,84,2370,82
27,4,90,2950,82
27,4,86,2790,82
44,4,52,2130,82
32,4,84,2295,82
28,4,79,2625,82
31,4,82,2720,82